Nickname,Influence,Mentions
@jatirado,9,5431
@Consalud_es,10,4809
@jatirado_oc,7,6270
@Manzorro_LuisR,7,5499
@redaccionmedica,9,3302
@DiarioSUR,10,2717
@EFEnoticias,10,2158
@La_Cerca,8,2655
@el_pais,10,2093
@ituerahipster,6,3786
@caos3_0,7,2911
@canarias7,10,1824
@abcdesevilla,10,1763
@LaPorres,7,2368
@la_resistensia_,8,2270
@Gacetinmadrid,8,1984
@RTVCes,10,1612
@abc_es,10,1457
@DuroBelinda,7,2063
@gorka_orive,9,1593
@ideal_granada,10,1385
@20m,10,1383
@rtve,10,1377
@NoticiasDeEs,5,2752
@NotGip,8,1692
@NoticiasNavarra,10,1352
@larazon_es,10,1311
@LaVanguardia,10,1267
@Manu_K_tala,7,1806
@NoticieroMAD,5,2297
@mianrey,10,1173
@publico_es,10,1066
@nauscopio,5,2102
@quincemil15000,8,1260
@eldiarioeus,8,1259
@informativost5,10,990
@huelva_info,8,1222
@elperiodico,10,968
@ElHuffPost,10,944
@jose197312,4,2284
@diariosevilla,10,893
@elprogreso_Lugo,8,1077
@locuspolitikus,8,1075
@anadesdepucela,6,1381
@ideal_almeria,8,1017
@SanidadGobCan,9,944
@nikomer75,5,1602
@juan3pueblo,6,1306
@937908Mcm,7,1115
@masanpra,5,1559
@ArqueroPublico,8,1060
@Mariaperezpere,6,1344
@diariomedico,10,768
@telemadrid,10,767
@valsurbio,6,1300
@ideal_jaen,8,953
@isanidad,8,945
@VilaWeb,10,755
@Diario_Pontev,8,940
@didaclopez,6,1244
@drmiguelmarcos,9,895
@PedroCFernandez,7,1057
@malagahoy_es,10,735
@elmundoes,10,733
@toni17lopez,5,1465
@laprovincia_es,10,720
@JuanRaeiros,8,892
@deia_eus,9,790
@laSextaTV,10,701
@Farodevigo,10,694
@llemj,5,1377
@COPE,10,687
@Nba1Marisa,5,1789
@Juanjo3800,6,1124
@BECAES_,8,841
@lavozdegalicia,10,665
@CONTUNDENTEE,6,1106
@mire_palenzuela,7,948
@elEconomistaes,10,658
@sanidadgob,10,656
@diariARA,10,646
@CanSaludable,8,830
@eldiacordoba,9,696
@periodicoaragon,9,693
@heraldoes,10,620
@mallorcadiario,8,775
@caval100,10,598
@diariodejerez,8,743
@rociogrande1,6,979
@XavierAbadMdG,8,811
@TheObjective_es,10,623
@vivaDBSK,5,1166
@vilpetrus,7,823
@noaylucky,6,1093
@covidvacunacion,2,2927
@MarvinHarris76,6,947
@ProudandSweet,7,958
@Cahora,9,624
@_infoLibre,10,556
@laverdad_es,10,549
