Nickname,zval,Interactions,Followers
@jatirado,1,3103,79489
@Consalud_es,2,7947,139566
@jatirado_oc,3,11372,5670
@Manzorro_LuisR,4,32164,5121
@redaccionmedica,5,3706,91732
@DiarioSUR,6,4388,275247
@EFEnoticias,7,43300,2054627
@La_Cerca,8,263,18473
@el_pais,9,347129,8546577
@ituerahipster,10,45844,3857
@caos3_0,11,4011,8410
@canarias7,12,4765,112185
@abcdesevilla,13,5893,227148
@LaPorres,14,75,9365
@la_resistensia_,15,36857,10054
@Gacetinmadrid,16,2824,17691
@RTVCes,17,10304,112523
@abc_es,18,69906,2210335
@DuroBelinda,19,0,7238
@gorka_orive,20,291072,96381
@ideal_granada,21,1929,134213
@20m,22,19964,1485266
@rtve,23,7681,1249946
@NoticiasDeEs,24,17,1205
@NotGip,25,969,22888
@NoticiasNavarra,26,4597,110456
@larazon_es,27,4775,568955
@LaVanguardia,28,15870,1298919
@Manu_K_tala,29,1,5469
@NoticieroMAD,30,6332,2512
@mianrey,31,582451,146142
@publico_es,32,50333,1123260
@nauscopio,33,2469,2396
@quincemil15000,34,366,15691
@eldiarioeus,35,524,10826
@informativost5,36,13059,828153
@huelva_info,37,401,29509
@elperiodico,38,4255,719677
@ElHuffPost,39,53020,564584
@jose197312,40,24,520
@diariosevilla,41,1740,216266
@elprogreso_Lugo,42,1144,30815
@locuspolitikus,43,2,13059
@anadesdepucela,44,14,4653
@ideal_almeria,45,192,21974
@SanidadGobCan,46,26953,60556
@nikomer75,47,6727,2723
@juan3pueblo,48,124,3688
@937908Mcm,49,144,7142
@masanpra,50,13752,2297
@ArqueroPublico,51,18123,10558
@Mariaperezpere,52,4,3300
@diariomedico,53,1099,121957
@telemadrid,54,3159,130698
@valsurbio,55,20,3508
@ideal_jaen,56,350,23723
@isanidad,57,843,20882
@VilaWeb,58,3511,338772
@Diario_Pontev,59,296,19213
@didaclopez,60,68,3344
@drmiguelmarcos,61,24792,57604
@PedroCFernandez,62,856,5674
@malagahoy_es,63,1505,139536
@elmundoes,64,135502,4245920
@toni17lopez,65,18069,2828
@laprovincia_es,66,871,118757
@JuanRaeiros,67,112,14729
@deia_eus,68,678,56375
@laSextaTV,69,9590,1119368
@Farodevigo,70,2267,175942
@llemj,71,0,1648
@COPE,72,4726,503137
@Nba1Marisa,73,43,1050
@Juanjo3800,74,2,3859
@BECAES_,75,3032,18519
@lavozdegalicia,76,2504,397292
@CONTUNDENTEE,77,3,3329
@mire_palenzuela,78,120,5546
@elEconomistaes,79,2410,721412
@sanidadgob,80,29426,692805
@diariARA,81,1817,549047
@CanSaludable,82,1480,10910
@eldiacordoba,83,140,65794
@periodicoaragon,84,445,87400
@heraldoes,85,5243,176517
@mallorcadiario,86,175,21269
@caval100,87,1332,109986
@diariodejerez,88,56,17287
@rociogrande1,89,8,4348
@XavierAbadMdG,90,9881,11090
@TheObjective_es,91,4326,107586
@vivaDBSK,92,26,1047
@vilpetrus,93,267,6225
@noaylucky,94,26767,4247
@covidvacunacion,95,25,165
@MarvinHarris76,96,33,4346
@ProudandSweet,97,6462,6131
@Cahora,98,5277,96914
@_infoLibre,99,18386,368481
@laverdad_es,100,1457,186780
